CODGEO,nom_comm,postal_code,Recherche,X,Y
01001,L'abergement-Clemenciat,01400,L'abergement-Clemenciat (01400),4.92611360153978,46.1534252942477
01002,L'abergement-De-Varey,01640,L'abergement-De-Varey (01640),5.42801679219276,46.0091876301713
01004,Amberieu-En-Bugey,01500,Amberieu-En-Bugey (01500),5.37292603966845,45.9608475835449
01005,Amberieux-En-Dombes,01330,Amberieux-En-Dombes (01330),4.91227248501851,45.9961800293904
01006,Ambleon,01300,Ambleon (01300),5.59432058282335,45.7494987797188
01007,Ambronay,01500,Ambronay (01500),5.35760637870786,46.0055912365191
01008,Ambutrix,01500,Ambutrix (01500),5.33280918141928,45.9367133645411
01009,Andert-Et-Condon,01300,Andert-Et-Condon (01300),5.65788333783682,45.7873562160333
01010,Anglefort,01350,Anglefort (01350),5.79516019375421,45.9093714091804
01011,Apremont,01100,Apremont (01100),5.65781508153984,46.2054980843817
01012,Aranc,01110,Aranc (01110),5.5113064568499,46.0015341990758
01013,Arandas,01230,Arandas (01230),5.49870440914638,45.8908156681253
01014,Arbent,01100,Arbent (01100),5.69061643250926,46.2834937128163
01015,Arbignieu,01300,Arbignieu (01300),5.6420592505346,45.7128782665402
01016,Arbigny,01190,Arbigny (01190),4.9599419228299,46.4776762646813
01017,Argis,01230,Argis (01230),5.48251079276526,45.9337185856637
01019,Armix,01510,Armix (01510),5.583578080161,45.854183988638
01021,Ars-Sur-Formans,01480,Ars-Sur-Formans (01480),4.82199632335011,45.9934610305644
01022,Artemare,01510,Artemare (01510),5.69065253564257,45.869589067786
01023,Asnieres-Sur-Saone,01570,Asnieres-Sur-Saone (01570),4.88387449978347,46.3857280037765
01024,Attignat,01340,Attignat (01340),5.17952348841935,46.2861802052063
01025,Bage-La-Ville,01380,Bage-La-Ville (01380),4.96670730184244,46.327237343905
01026,Bage-Le-Chatel,01380,Bage-Le-Chatel (01380),4.92862077808522,46.3077070805504
01027,Balan,01360,Balan (01360),5.10780407911081,45.8311479097144
01028,Baneins,01990,Baneins (01990),4.90146476884472,46.1141215235396
01029,Beaupont,01270,Beaupont (01270),5.26003427313497,46.4288362601101
01030,Beauregard,01480,Beauregard (01480),4.75600688457403,46.0008581348509
01031,Bellignat,01100,Bellignat (01100),5.63600565126234,46.2373498259721
01032,Beligneux,01360,Beligneux (01360),5.13989481319092,45.8591463534961
01033,Bellegarde-Sur-Valserine,01200,Bellegarde-Sur-Valserine (01200),5.7961189373874,46.1241522060673
01034,Belley,01300,Belley (01300),5.68412389822826,45.7494697409317
01035,Belleydoux,01130,Belleydoux (01130),5.78471691602052,46.2530316680984
01036,Belmont-Luthezieu,01260,Belmont-Luthezieu (01260),5.65702996311863,45.9177601041304
01037,Benonces,01470,Benonces (01470),5.48285311898917,45.8374972794191
01038,Beny,01370,Beny (01370),5.28253407680987,46.3188627471087
01039,Beon,01350,Beon (01350),5.75220304298713,45.8568921026535
01040,Bereziat,01340,Bereziat (01340),5.04021628870175,46.3674372972071
01041,Bettant,01500,Bettant (01500),5.36667620557387,45.9368719389993
01042,Bey,01290,Bey (01290),4.84642699337581,46.2191745253723
01043,Beynost,01700,Beynost (01700),4.99737165491814,45.8390284191034
01044,Billiat,01200,Billiat (01200),5.76591747085206,46.0791346920649
01045,Birieux,01330,Birieux (01330),5.03666474346049,45.9533995010022
01046,Biziat,01290,Biziat (01290),4.94084693183311,46.2266794459098
01047,Blyes,01150,Blyes (01150),5.2516603794073,45.8469686401562
01049,La Boisse,01120,La Boisse (01120),5.02782377385233,45.8446240885349
01050,Boissey,01190,Boissey (01190),4.9989763767843,46.3727972015913
01051,Bolozon,01450,Bolozon (01450),5.47095074806786,46.1960336043401
01052,Bouligneux,01330,Bouligneux (01330),4.99252716194685,46.0232774802663
01053,Bourg-En-Bresse,01000,Bourg-En-Bresse (01000),5.24602146269201,46.2051520825164
01054,Bourg-Saint-Christophe,01800,Bourg-Saint-Christophe (01800),5.14349192864117,45.8861933491802
01056,Boyeux-Saint-Jerome,01640,Boyeux-Saint-Jerome (01640),5.46322751388597,46.0363677655329
01057,Boz,01190,Boz (01190),4.91357928511307,46.4051688700255
01058,Bregnier-Cordon,01300,Bregnier-Cordon (01300),5.61653326315642,45.6416856673261
01060,Brenod,01110,Brenod (01110),5.61418344218466,46.0759939675138
01061,Brens,01300,Brens (01300),5.68998129394837,45.7135067734619
01062,Bressolles,01360,Bressolles (01360),5.10094290574645,45.8694232272276
01063,Brion,01460,Brion (01460),5.54656428487536,46.1686324316186
01064,Briord,01470,Briord (01470),5.48537471962236,45.7708330936509
01065,Buellas,01310,Buellas (01310),5.14487457604715,46.2104134451758
01066,La Burbanche,01510,La Burbanche (01510),5.54609692873905,45.8598709846599
01067,Ceignes,01430,Ceignes (01430),5.49457373549786,46.1256533683771
01068,Cerdon,01450,Cerdon (01450),5.47577600277357,46.0720202883629
01069,Certines,01240,Certines (01240),5.26239549711773,46.1337951356158
01071,Cessy,01170,Cessy (01170),6.07798401206269,46.3156891847585
01072,Ceyzeriat,01250,Ceyzeriat (01250),5.3200720525902,46.1832170194077
01073,Ceyzerieu,01350,Ceyzerieu (01350),5.71933066614243,45.8335531393709
01074,Chalamont,01320,Chalamont (01320),5.16936559983803,46.0076492305036
01075,Chaleins,01480,Chaleins (01480),4.79853839837969,46.0340546462895
01076,Chaley,01230,Chaley (01230),5.53685823433407,45.9533847273727
01077,Challes-La-Montagne,01450,Challes-La-Montagne (01450),5.45755387240597,46.1221541198576
01078,Challex,01630,Challex (01630),5.97115052332164,46.1768357293028
01079,Champagne-En-Valromey,01260,Champagne-En-Valromey (01260),5.693219071711,45.9316446627292
01080,Champdor,01110,Champdor (01110),5.58804781221469,46.0289396615873
01081,Champfromier,01410,Champfromier (01410),5.82233540307513,46.2203658269353
01082,Chanay,01420,Chanay (01420),5.7689341256795,46.0056950513704
01083,Chaneins,01990,Chaneins (01990),4.85473342655592,46.0934984975344
01084,Chanoz-Chatenay,01400,Chanoz-Chatenay (01400),5.02807705278231,46.1861809665832
01085,La Chapelle-Du-Chatelard,01240,La Chapelle-Du-Chatelard (01240),5.02162048988263,46.0744541691383
01087,Charix,01130,Charix (01130),5.68118985194889,46.1856342474366
01088,Charnoz-Sur-Ain,01800,Charnoz-Sur-Ain (01800),5.22110325292818,45.8736783796404
01089,Chateau-Gaillard,01500,Chateau-Gaillard (01500),5.30754283620476,45.9730388785292
01090,Chatenay,01320,Chatenay (01320),5.20485900133426,46.025939925605
01092,Chatillon-La-Palud,01320,Chatillon-La-Palud (01320),5.24160296674172,45.9748016746871
01093,Chatillon-Sur-Chalaronne,01400,Chatillon-Sur-Chalaronne (01400),4.95810021033065,46.1232389700917
01094,Chavannes-Sur-Reyssouze,01190,Chavannes-Sur-Reyssouze (01190),5.00693721196063,46.4379785289234
01095,Chavannes-Sur-Suran,01250,Chavannes-Sur-Suran (01250),5.42639618653042,46.2839901013883
01096,Chaveyriat,01660,Chaveyriat (01660),5.05640701793345,46.1991512195144
01098,Chazey-Bons,01300,Chazey-Bons (01300),5.67399654953346,45.800289875722
01099,Chazey-Sur-Ain,01150,Chazey-Sur-Ain (01150),5.25528505864812,45.8929451387157
01100,Cheignieu-La-Balme,01510,Cheignieu-La-Balme (01510),5.60500160533263,45.8227205655567
01101,Chevillard,01430,Chevillard (01430),5.58116063489096,46.1103511143166
01102,Chevroux,01190,Chevroux (01190),4.96288283161552,46.3824928913885
01103,Chevry,01170,Chevry (01170),6.04707921526936,46.2831529842883
01104,Chezery-Forens,01410,Chezery-Forens (01410),5.87248097186075,46.2225731939157
01105,Civrieux,01390,Civrieux (01390),4.88633807270615,45.9224675890783
01106,Cize,01250,Cize (01250),5.45082507552177,46.2003849530089
01107,Cleyzieu,01230,Cleyzieu (01230),5.43272706169027,45.902146420362
01108,Coligny,01270,Coligny (01270),5.3308225129358,46.3866637121145
01109,Collonges,01550,Collonges (01550),5.90040230685977,46.1419227442323
01110,Colomieu,01300,Colomieu (01300),5.62670104458272,45.7361468229608
01111,Conand,01230,Conand (01230),5.47541341355042,45.8834810232603
01112,Condamine,01430,Condamine (01430),5.55568169246277,46.1058312761091
01113,Condeissiat,01400,Condeissiat (01400),5.08437164996263,46.1538468739363
01114,Confort,01200,Confort (01200),5.833193726896,46.1543699282362
01115,Confrancon,01310,Confrancon (01310),5.05775214979992,46.270304271772
01116,Contrevoz,01300,Contrevoz (01300),5.62087816895694,45.8009403051705
01117,Conzieu,01300,Conzieu (01300),5.60442323923585,45.7253101068622
01118,Corbonod,01420,Corbonod (01420),5.78961992451222,45.9659472304412
