CODGEO,P17_POP
01001,776.000000000003
01002,247.999999999999
01004,14035
01005,1689.00000000001
01006,111
01007,2726
01008,752
01009,330
01010,1115
01011,376
01012,326
01013,144
01014,3367
01015,644
01016,462.999999999999
01017,442
01019,28.0000000000001
01021,1408
01022,1237
01023,66
01024,3211
01025,4092
01026,923
01027,2684
01028,602.000000000001
01029,689
01030,866.000000000001
01031,3624
01032,3333
01033,16423
01034,9102.99999999998
01035,314
01036,1311
01037,297.999999999999
01038,756
01039,454.000000000002
01040,496
01041,747.999999999997
01042,279
01043,4613
01044,622
01045,283
01046,876
01047,1007
01049,3229
01050,335.999999999999
01051,89
01052,328
01053,41527
01054,1366
01056,346
01057,512
01058,839
01060,509
01061,1166
01062,911
01063,521
01064,1016
01065,1782
01066,77
01067,254
01068,783
01069,1517
01071,4856
01072,3157
01073,1007
01074,2451
01075,1342
01076,130
01077,194
01078,1481.00000000001
01079,820.000000000001
01080,651
01081,729
01082,625
01083,909.999999999999
01084,843.999999999998
01085,388
01087,285
01088,913.000000000001
01089,2138
01090,341
01092,1584
01093,4859
01094,753
01095,814
01096,1008
01098,1112
01099,1514
01100,134
01101,151
01102,952.000000000003
01103,1812
01104,467
01105,1680
01106,173
01107,136
01108,1181
01109,2219
01110,140
01111,124
01112,411
01113,821.999999999999
01114,648
01115,1336
01116,498.999999999998
01117,148
01118,1264
01121,114
01123,1138
01124,663.999999999999
01125,620.999999999999
01127,507
01128,313
01129,266
01130,2282
01133,392.000000000001
01134,1734
01135,2138
01136,868
01138,3035
01139,440
01140,770
01141,448
01142,4717.00000000001
01143,9644
01145,1166
01146,435
01147,486
01148,1846
01149,1041
01150,215.999999999999
01151,1159
01152,757.000000000001
01153,2131.99999999999
01155,144.999999999999
01156,806
01157,2204
01158,1038
01159,3291
01160,9766
01162,68.0000000000003
01163,2085
01165,1611
01166,2351
01167,647.000000000002
01169,612
01170,1051
01171,874.000000000002
01173,13118
01174,182.999999999999
01175,834.999999999997
01177,177
01179,1876
01180,833.000000000001
01181,1229
01183,1452
01184,776.999999999999
01185,4853
01187,669
01188,627.000000000001
01189,1136
01190,89
01191,156
01192,2247
01193,235
01194,6339
01195,1755
01196,1182
01197,355
01198,271.000000000001
01199,2156.00000000001
01200,210
01202,7142.99999999998
01203,1212
01204,720
01206,277
01207,316
01208,124
01209,739
01210,227
01211,1405
01212,734.999999999998
01213,1303
01214,152
01215,131
01216,889.000000000002
01219,168
01224,3146
01225,384
01227,644.000000000001
01228,635
01229,1216
01230,313
01231,1962.99999999999
01232,2244
01233,131
01234,172
01235,1112
01236,991
01237,1654
01238,2590
01239,614.000000000002
01240,641
01241,1335
01242,130
01243,1224
01244,7743.00000000001
01245,913
01246,2172
01247,341
01248,2100
01249,9962.99999999999
01250,1941
01252,778
01254,1992
01255,622
01257,344
01258,1195
01259,690.999999999998
01260,296.999999999999
01261,645.999999999999
01262,6963.99999999998
01263,3793
01264,1040
